Image,Image_size,Data Size (bytes),Ratio,PSNR,SSIM,Data Integrity,Images Match
steghide_images/human/rider-173.bmp,151254,6050,4,44.59369907354905,0.9832585570034426,True,True
steghide_images/human/rider-195.bmp,143874,1438,1,51.04004129087748,0.9975403680036522,True,True
steghide_images/human/rider-195.bmp,143874,2877,2,49.09405699086595,0.9961253936454278,True,True
steghide_images/human/rider-195.bmp,143874,4316,3,47.838953085311815,0.9948423727200856,True,True
steghide_images/human/rider-195.bmp,143874,5754,4,46.91565848911371,0.9937023599949127,True,True
steghide_images/human/rider-36.bmp,152154,1521,1,49.56845411783094,0.996540944651977,True,True
steghide_images/human/rider-36.bmp,152154,3043,2,47.77093236075086,0.9947351480914753,True,True
steghide_images/human/rider-36.bmp,152154,4564,3,46.82647578429098,0.9935783121145562,True,True
steghide_images/human/rider-36.bmp,152154,6086,4,46.06211416077586,0.9923552211094049,True,True
steghide_images/human/rider-1.bmp,124150,1241,1,48.85800696351378,0.9949668504911032,True,True
steghide_images/human/rider-1.bmp,124150,2483,2,46.7838459297525,0.9921211595563996,True,True
steghide_images/human/rider-1.bmp,124150,3724,3,45.60276339603859,0.9899821084262163,True,True
steghide_images/human/rider-1.bmp,124150,4966,4,44.51655647649507,0.9870423493288998,True,True
steghide_images/human/rider-197.bmp,146694,1466,1,49.7066452177809,0.9945315510307449,True,True
steghide_images/human/rider-197.bmp,146694,2933,2,46.898687267446434,0.9900705903281425,True,True
steghide_images/human/rider-197.bmp,146694,4400,3,44.861634579460244,0.9847576082580826,True,True
steghide_images/human/rider-197.bmp,146694,5867,4,43.76466867791956,0.9806471696306565,True,True
steghide_images/human/rider-196.bmp,151854,1518,1,49.66663145721688,0.9970014422375558,True,True
steghide_images/human/rider-196.bmp,151854,3037,2,48.0416585117505,0.99550621371442,True,True
steghide_images/human/rider-196.bmp,151854,4555,3,46.99253194431455,0.9944631821316617,True,True
steghide_images/human/rider-196.bmp,151854,6074,4,46.39048828735309,0.9934885572909407,True,True
steghide_images/human/rider-174.bmp,151854,1518,1,47.69398975757875,0.9983123792850211,True,True
steghide_images/human/rider-174.bmp,151854,3037,2,45.82960680986617,0.997345265643971,True,True
steghide_images/human/rider-174.bmp,151854,4555,3,45.03051319111109,0.9967357592802184,True,True
steghide_images/human/rider-174.bmp,151854,6074,4,44.447868542955874,0.9963580046865738,True,True
steghide_images/human/rider-184.bmp,151814,1518,1,50.21152882482319,0.9975280959538696,True,True
steghide_images/human/rider-184.bmp,151814,3036,2,47.65298544407736,0.9954580616426121,True,True
steghide_images/human/rider-184.bmp,151814,4554,3,46.47461120070881,0.9942523922612994,True,True
steghide_images/human/rider-184.bmp,151814,6072,4,45.38131666603212,0.9928187762423454,True,True
steghide_images/human/rider-166.bmp,142182,1421,1,49.65568958088138,0.9927607997642922,True,True
steghide_images/human/rider-166.bmp,142182,2843,2,46.67127405995408,0.9855546282601955,True,True
steghide_images/human/rider-166.bmp,142182,4265,3,45.075317194213376,0.9797113345091452,True,True
steghide_images/human/rider-166.bmp,142182,5687,4,43.788364217309066,0.9737416550326671,True,True
steghide_images/human/rider-40.bmp,151814,1518,1,50.248645251976576,0.9975205049153005,True,True
steghide_images/human/rider-40.bmp,151814,3036,2,48.04258821806931,0.9959622818030206,True,True
steghide_images/human/rider-40.bmp,151814,4554,3,46.444062536120505,0.9942860314092608,True,True
steghide_images/human/rider-40.bmp,151814,6072,4,45.40889742176003,0.9928462320317126,True,True
steghide_images/human/rider-200.bmp,270054,2700,1,51.46853671597205,0.9973446532169215,True,True
steghide_images/human/rider-200.bmp,270054,5401,2,49.885013936542606,0.9961644078897242,True,True
steghide_images/human/rider-200.bmp,270054,8101,3,48.780828139733494,0.9949997745705089,True,True
steghide_images/human/rider-200.bmp,270054,10802,4,48.04012084675691,0.9940768524957946,True,True
steghide_images/human/rider-114.bmp,115254,1152,1,48.12485122022306,0.9968966724472216,True,True
steghide_images/human/rider-114.bmp,115254,2305,2,46.20429677280114,0.9955784216834811,True,True
steghide_images/human/rider-114.bmp,115254,3457,3,45.22085965232941,0.9944166397854838,True,True
steghide_images/human/rider-114.bmp,115254,4610,4,44.36714126778776,0.9931299902176086,True,True
steghide_images/human/rider-119.bmp,151310,1513,1,51.132296270184845,0.9964411259790976,True,True
steghide_images/human/rider-119.bmp,151310,3026,2,48.564728196846694,0.9938396901182204,True,True
steghide_images/human/rider-119.bmp,151310,4539,3,47.27385491730429,0.9915809788137621,True,True
steghide_images/human/rider-119.bmp,151310,6052,4,46.145382422276114,0.9890333063600415,True,True
steghide_images/human/rider-75.bmp,151814,1518,1,49.941803992395045,0.9972685039007282,True,True
steghide_images/human/rider-75.bmp,151814,3036,2,47.598452323370196,0.9955327087529261,True,True
steghide_images/human/rider-75.bmp,151814,4554,3,46.23256465428604,0.9940709173160274,True,True
steghide_images/human/rider-75.bmp,151814,6072,4,45.23333189497048,0.9927251922702705,True,True
steghide_images/human/rider-28.bmp,115254,1152,1,49.00929371015864,0.9965604247446088,True,True
steghide_images/human/rider-28.bmp,115254,2305,2,46.95728494299725,0.9944719822137239,True,True
steghide_images/human/rider-28.bmp,115254,3457,3,45.345669105124884,0.9922446161736804,True,True
steghide_images/human/rider-28.bmp,115254,4610,4,44.44202961226796,0.990069639892934,True,True
steghide_images/human/rider-25.bmp,151894,1518,1,49.368420640885844,0.9973138523993011,True,True
steghide_images/human/rider-25.bmp,151894,3037,2,47.588417371128855,0.9958695930014039,True,True
steghide_images/human/rider-25.bmp,151894,4556,3,46.319442851326755,0.9944362013741385,True,True
steghide_images/human/rider-25.bmp,151894,6075,4,45.55657469247919,0.9933865898739319,True,True
steghide_images/human/rider-27.bmp,151310,1513,1,49.904267196018026,0.9961755344343347,True,True
steghide_images/human/rider-27.bmp,151310,3026,2,48.072792452023464,0.9939593126364352,True,True
steghide_images/human/rider-27.bmp,151310,4539,3,46.97852157883045,0.992456111000796,True,True
steghide_images/human/rider-27.bmp,151310,6052,4,46.079851340037635,0.9906604996920244,True,True
steghide_images/human/rider-52.bmp,151130,1511,1,49.757770470794995,0.9969995175198217,True,True
steghide_images/human/rider-52.bmp,151130,3022,2,48.04909122743187,0.9956366289881194,True,True
steghide_images/human/rider-52.bmp,151130,4533,3,47.098689548068094,0.9944862883572428,True,True
steghide_images/human/rider-52.bmp,151130,6045,4,46.294349714796084,0.9934577907467411,True,True
steghide_images/human/rider-22.bmp,151770,1517,1,49.34673557817777,0.9973242055759909,True,True
steghide_images/human/rider-22.bmp,151770,3035,2,47.87019145324589,0.9963438440565295,True,True
steghide_images/human/rider-22.bmp,151770,4553,3,47.0461879989073,0.9954886426265118,True,True
steghide_images/human/rider-22.bmp,151770,6070,4,46.33990200869639,0.9946056455064411,True,True
steghide_images/human/rider-108.bmp,152334,1523,1,51.4460364158607,0.9969966897679975,True,True
steghide_images/human/rider-108.bmp,152334,3046,2,49.63806344914602,0.9954972808299917,True,True
steghide_images/human/rider-108.bmp,152334,4570,3,48.54032476472252,0.9942846605058312,True,True
steghide_images/human/rider-108.bmp,152334,6093,4,47.465442818621256,0.9926357088206593,True,True
steghide_images/human/rider-186.bmp,152154,1521,1,48.83532774367044,0.9967782940648119,True,True
steghide_images/human/rider-186.bmp,152154,3043,2,46.90945151038531,0.9951325211806014,True,True
steghide_images/human/rider-186.bmp,152154,4564,3,45.33602693127486,0.9930965386419164,True,True
steghide_images/human/rider-186.bmp,152154,6086,4,44.40863203023962,0.9916350117880605,True,True
steghide_images/human/rider-152.bmp,142182,1421,1,49.34476797851011,0.9970641625040861,True,True
steghide_images/human/rider-152.bmp,142182,2843,2,47.30557401793106,0.9953842214148377,True,True
steghide_images/human/rider-152.bmp,142182,4265,3,46.35805122080751,0.9941812766885842,True,True
steghide_images/human/rider-152.bmp,142182,5687,4,45.40519326532598,0.9929116960673502,True,True
steghide_images/human/rider-37.bmp,151350,1513,1,49.42725326396045,0.9941952423634085,True,True
steghide_images/human/rider-37.bmp,151350,3027,2,47.23212777527199,0.9901762977751671,True,True
steghide_images/human/rider-37.bmp,151350,4540,3,45.99625741804581,0.9870934178892967,True,True
steghide_images/human/rider-37.bmp,151350,6054,4,45.091251571747186,0.9841541988270142,True,True
steghide_images/human/rider-60.bmp,151850,1518,1,49.69023057229586,0.9943440539834315,True,True
steghide_images/human/rider-60.bmp,151850,3037,2,47.209947816432525,0.9898018348333485,True,True
steghide_images/human/rider-60.bmp,151850,4555,3,45.627180509121565,0.985896471353296,True,True
steghide_images/human/rider-60.bmp,151850,6074,4,44.70418104711641,0.9828934262279598,True,True
steghide_images/human/rider-153.bmp,152154,1521,1,50.052191901909886,0.9963065080363879,True,True
steghide_images/human/rider-153.bmp,152154,3043,2,48.31826054247746,0.99458056602843,True,True
steghide_images/human/rider-153.bmp,152154,4564,3,47.262344440677246,0.9931217065076954,True,True
steghide_images/human/rider-153.bmp,152154,6086,4,46.3519795491776,0.991681688001581,True,True
steghide_images/human/rider-188.bmp,152154,1521,1,49.16650319168681,0.9965905753361759,True,True
steghide_images/human/rider-188.bmp,152154,3043,2,47.40062078831641,0.9951460634977267,True,True
steghide_images/human/rider-188.bmp,152154,4564,3,46.34098205812325,0.9936845576764698,True,True
steghide_images/human/rider-188.bmp,152154,6086,4,45.685045562606,0.9925622000473803,True,True
steghide_images/human/rider-30.bmp,151854,1518,1,49.35919469716512,0.9964361099679429,True,True
steghide_images/human/rider-30.bmp,151854,3037,2,47.42833532105447,0.9945646426624207,True,True
steghide_images/human/rider-30.bmp,151854,4555,3,46.49702899621144,0.9933020032188783,True,True
steghide_images/human/rider-30.bmp,151854,6074,4,45.82551071375684,0.9921439756447493,True,True
steghide_images/human/rider-24.bmp,150966,1509,1,49.055724763176514,0.996204355580018,True,True
steghide_images/human/rider-24.bmp,150966,3019,2,47.31088942033306,0.9941910351667698,True,True
steghide_images/human/rider-24.bmp,150966,4528,3,46.53578795988011,0.9928041697498333,True,True
steghide_images/human/rider-24.bmp,150966,6038,4,45.69322636693645,0.9913734120731442,True,True
steghide_images/human/rider-120.bmp,151894,1518,1,48.925889148049755,0.9983749502231575,True,True
steghide_images/human/rider-120.bmp,151894,3037,2,47.336624010269986,0.9976681080380375,True,True
steghide_images/human/rider-120.bmp,151894,4556,3,46.359513880199216,0.9969986760067132,True,True
steghide_images/human/rider-120.bmp,151894,6075,4,45.754352530440734,0.9964698538650688,True,True
steghide_images/human/rider-11.bmp,115254,1152,1,49.90474192861165,0.996152429859824,True,True
steghide_images/human/rider-11.bmp,115254,2305,2,47.86301039752891,0.9939069546601703,True,True
steghide_images/human/rider-11.bmp,115254,3457,3,46.69713121457636,0.9919475820422625,True,True
steghide_images/human/rider-11.bmp,115254,4610,4,45.87508610652864,0.990413317166759,True,True
steghide_images/human/rider-158.bmp,152154,1521,1,48.722852246003754,0.9962556952771936,True,True
steghide_images/human/rider-158.bmp,152154,3043,2,47.2899183387521,0.9946435549672964,True,True
steghide_images/human/rider-158.bmp,152154,4564,3,46.186525907334456,0.9929899652075745,True,True
steghide_images/human/rider-158.bmp,152154,6086,4,45.50164256982511,0.9917909455801815,True,True
steghide_images/human/rider-2.bmp,1827894,18278,1,53.918278368531844,0.9979357410656657,True,True
steghide_images/human/rider-2.bmp,1827894,36557,2,51.269681271781415,0.9962160149084154,True,True
steghide_images/human/rider-2.bmp,1827894,54836,3,49.81893734661776,0.994849299430633,True,True
steghide_images/human/rider-2.bmp,1827894,73115,4,48.673727621427886,0.993362219833798,True,True
steghide_images/human/rider-182.bmp,152154,1521,1,49.18870085316678,0.9976762570631373,True,True
steghide_images/human/rider-182.bmp,152154,3043,2,47.50670788622955,0.9964827612127373,True,True
steghide_images/human/rider-182.bmp,152154,4564,3,46.66193165238325,0.9956554846437372,True,True
steghide_images/human/rider-182.bmp,152154,6086,4,46.03869942464552,0.9949688660701277,True,True
steghide_images/human/rider-187.bmp,151206,1512,1,49.76188136171177,0.9983520758057471,True,True
steghide_images/human/rider-187.bmp,151206,3024,2,48.166723459090576,0.9975673111262614,True,True
steghide_images/human/rider-187.bmp,151206,4536,3,46.94768755296144,0.9967989593190466,True,True
steghide_images/human/rider-187.bmp,151206,6048,4,46.19080163235718,0.996112970600146,True,True
steghide_images/human/rider-118.bmp,151854,1518,1,48.86039435488104,0.9943939362051083,True,True
steghide_images/human/rider-118.bmp,151854,3037,2,46.82770564689964,0.9909125992801638,True,True
steghide_images/human/rider-118.bmp,151854,4555,3,45.20938781486967,0.9868266278630423,True,True
steghide_images/human/rider-118.bmp,151854,6074,4,44.29143172569206,0.9839698150587936,True,True
steghide_images/human/rider-157.bmp,151310,1513,1,51.845263908706045,0.9953830692573259,True,True
steghide_images/human/rider-157.bmp,151310,3026,2,49.7964387095013,0.9922002448743515,True,True
steghide_images/human/rider-157.bmp,151310,4539,3,48.330582548567605,0.9886616065602595,True,True
steghide_images/human/rider-157.bmp,151310,6052,4,47.14290170222523,0.9847502353939296,True,True
steghide_images/human/rider-130.bmp,120054,1200,1,51.591044817860634,0.9977313802227116,True,True
steghide_images/human/rider-130.bmp,120054,2401,2,49.66094148292019,0.996600294249642,True,True
steghide_images/human/rider-130.bmp,120054,3601,3,48.36126977515504,0.9954521209772945,True,True
steghide_images/human/rider-130.bmp,120054,4802,4,47.67092755206943,0.9947252193413673,True,True
steghide_images/human/rider-50.bmp,151894,1518,1,49.110571854962856,0.9980411783232824,True,True
steghide_images/human/rider-50.bmp,151894,3037,2,47.88330447755939,0.9974074798138584,True,True
steghide_images/human/rider-50.bmp,151894,4556,3,46.845168646548565,0.9965632188350915,True,True
steghide_images/human/rider-50.bmp,151894,6075,4,46.148896332788006,0.9959211101819093,True,True
steghide_images/human/rider-14.bmp,97254,972,1,48.58817993881571,0.996022649430543,True,True
steghide_images/human/rider-14.bmp,97254,1945,2,46.17024212605834,0.9933916319237057,True,True
steghide_images/human/rider-14.bmp,97254,2917,3,44.86439009633112,0.9913292210207071,True,True
steghide_images/human/rider-14.bmp,97254,3890,4,43.961027407644515,0.9893695462824343,True,True
steghide_images/human/rider-111.bmp,151142,1511,1,52.22337531282018,0.9975231843706998,True,True
steghide_images/human/rider-111.bmp,151142,3022,2,48.96833462547374,0.9949590116640121,True,True
steghide_images/human/rider-111.bmp,151142,4534,3,47.347466202013784,0.9931475473591299,True,True
steghide_images/human/rider-111.bmp,151142,6045,4,46.31991648899296,0.9916065163328606,True,True
steghide_images/human/rider-133.bmp,151022,1510,1,49.20914799846615,0.9954688661238015,True,True
steghide_images/human/rider-133.bmp,151022,3020,2,47.07695046954339,0.9925845727792382,True,True
steghide_images/human/rider-133.bmp,151022,4530,3,45.73870085358141,0.98936610899807,True,True
steghide_images/human/rider-133.bmp,151022,6040,4,44.63361386684654,0.9860234290567194,True,True
steghide_images/human/rider-172.bmp,84726,847,1,49.06088014161192,0.9955373939235906,True,True
steghide_images/human/rider-172.bmp,84726,1694,2,47.15538897176814,0.9936529568778689,True,True
steghide_images/human/rider-172.bmp,84726,2541,3,45.944998555225254,0.9920310481282071,True,True
steghide_images/human/rider-172.bmp,84726,3389,4,45.20989500151846,0.9904196023732327,True,True
steghide_images/human/rider-82.bmp,151782,1517,1,51.09677253304977,0.9984870152868055,True,True
steghide_images/human/rider-82.bmp,151782,3035,2,49.150912066286935,0.9976403563985258,True,True
steghide_images/human/rider-82.bmp,151782,4553,3,47.84643799163196,0.9968886983275004,True,True
steghide_images/human/rider-82.bmp,151782,6071,4,46.89268535428481,0.9961325227613317,True,True
steghide_images/human/rider-198.bmp,151854,1518,1,48.93179059630284,0.995418331239401,True,True
steghide_images/human/rider-198.bmp,151854,3037,2,47.06119917929502,0.9928812120108302,True,True
steghide_images/human/rider-198.bmp,151854,4555,3,45.76037652871597,0.990127340065348,True,True
steghide_images/human/rider-198.bmp,151854,6074,4,45.02851315162519,0.9883423492794492,True,True
steghide_images/human/rider-88.bmp,151098,1510,1,49.93418990186956,0.9988218135448466,True,True
steghide_images/human/rider-88.bmp,151098,3021,2,48.24426524059482,0.9982264680114475,True,True
steghide_images/human/rider-88.bmp,151098,4532,3,47.249698570856715,0.9978055535765176,True,True
steghide_images/human/rider-88.bmp,151098,6043,4,46.540442171453805,0.9974326782178885,True,True
steghide_images/human/rider-199.bmp,151310,1513,1,51.26643729245415,0.9964949876005478,True,True
steghide_images/human/rider-199.bmp,151310,3026,2,48.25512918978478,0.9933782690921519,True,True
steghide_images/human/rider-199.bmp,151310,4539,3,46.79903183841294,0.9908751602385135,True,True
steghide_images/human/rider-199.bmp,151310,6052,4,45.36121611391294,0.9875630342875522,True,True
steghide_images/human/rider-145.bmp,152154,1521,1,49.70651935177087,0.9966001719552414,True,True
steghide_images/human/rider-145.bmp,152154,3043,2,46.55532810944466,0.9931903112813929,True,True
steghide_images/human/rider-145.bmp,152154,4564,3,45.02758284725844,0.9903949693360832,True,True
steghide_images/human/rider-145.bmp,152154,6086,4,44.19775165907119,0.988860201655736,True,True
steghide_images/human/rider-113.bmp,152154,1521,1,54.188593503336136,0.9984005826121499,True,True
steghide_images/human/rider-113.bmp,152154,3043,2,51.04648968374092,0.9970597957360257,True,True
steghide_images/human/rider-113.bmp,152154,4564,3,49.29554915904281,0.9958893622605182,True,True
steghide_images/human/rider-113.bmp,152154,6086,4,48.2018989280072,0.9946944919999927,True,True
steghide_images/human/rider-61.bmp,151854,1518,1,63.179513987170104,0.9998892948135912,True,True
steghide_images/human/rider-61.bmp,151854,3037,2,60.27725768951416,0.9997865208817296,True,True
steghide_images/human/rider-61.bmp,151854,4555,3,58.506297069443754,0.9996727113730527,True,True
steghide_images/human/rider-61.bmp,151854,6074,4,57.28894019296593,0.9995650798627841,True,True
steghide_images/human/rider-6.bmp,298830,2988,1,51.647442611010874,0.9966679099707481,True,True
steghide_images/human/rider-6.bmp,298830,5976,2,49.76903187429437,0.9947984747306925,True,True
steghide_images/human/rider-6.bmp,298830,8964,3,48.61358876810836,0.9933504232446845,True,True
steghide_images/human/rider-6.bmp,298830,11953,4,47.73839803154068,0.9918586428891661,True,True
steghide_images/human/rider-156.bmp,152154,1521,1,50.04192273364593,0.9959665408038273,True,True
steghide_images/human/rider-156.bmp,152154,3043,2,47.88272504964457,0.9933514155628931,True,True
steghide_images/human/rider-156.bmp,152154,4564,3,46.760296096773324,0.9911880119648604,True,True
steghide_images/human/rider-156.bmp,152154,6086,4,45.90765182901226,0.9894639510702209,True,True
steghide_images/human/rider-159.bmp,152358,1523,1,47.50856360621541,0.9972417087071165,True,True
steghide_images/human/rider-159.bmp,152358,3047,2,45.93091171911386,0.9961346749635075,True,True
steghide_images/human/rider-159.bmp,152358,4570,3,45.05167492800281,0.99532711133019,True,True
steghide_images/human/rider-159.bmp,152358,6094,4,44.441274687509846,0.994098929641101,True,True
steghide_images/human/rider-21.bmp,152154,1521,1,49.28729349520723,0.9963372227801486,True,True
steghide_images/human/rider-21.bmp,152154,3043,2,46.685279335474696,0.9935395715928093,True,True
steghide_images/human/rider-21.bmp,152154,4564,3,45.17161750676868,0.9908978349066307,True,True
steghide_images/human/rider-21.bmp,152154,6086,4,43.970546539548785,0.9881180948318944,True,True
steghide_images/human/rider-134.bmp,152154,1521,1,49.86196461539273,0.997099684824057,True,True
steghide_images/human/rider-134.bmp,152154,3043,2,47.40066912892915,0.994804798550183,True,True
steghide_images/human/rider-134.bmp,152154,4564,3,45.949223456927086,0.993005680360184,True,True
steghide_images/human/rider-134.bmp,152154,6086,4,44.88305217326314,0.9908942200975789,True,True
steghide_images/human/rider-78.bmp,152154,1521,1,50.7392165040351,0.9968441032747438,True,True
steghide_images/human/rider-78.bmp,152154,3043,2,48.80623299503461,0.9951343490617877,True,True
steghide_images/human/rider-78.bmp,152154,4564,3,47.53219434572099,0.9935426305486224,True,True
steghide_images/human/rider-78.bmp,152154,6086,4,46.68529983513281,0.9921244108050522,True,True
steghide_images/human/rider-139.bmp,148950,1489,1,49.80525468670262,0.9965705805575884,True,True
steghide_images/human/rider-139.bmp,148950,2979,2,47.866306505980916,0.994498937516445,True,True
steghide_images/human/rider-139.bmp,148950,4468,3,46.71106433941512,0.9927296913067947,True,True
steghide_images/human/rider-139.bmp,148950,5958,4,45.77480899956559,0.9909479590969846,True,True
steghide_images/human/rider-58.bmp,151302,1513,1,51.61010591275613,0.997504270743346,True,True
steghide_images/human/rider-58.bmp,151302,3026,2,49.535165922870625,0.9960176778248435,True,True
steghide_images/human/rider-58.bmp,151302,4539,3,48.61166916597004,0.9950292712391576,True,True
steghide_images/human/rider-58.bmp,151302,6052,4,47.57711304517714,0.9937109747475837,True,True
steghide_images/human/rider-131.bmp,151794,1517,1,51.46787028325658,0.9966410013816723,True,True
steghide_images/human/rider-131.bmp,151794,3035,2,49.09564625961008,0.9941558297935643,True,True
steghide_images/human/rider-131.bmp,151794,4553,3,47.8209853129617,0.9922155446240598,True,True
steghide_images/human/rider-131.bmp,151794,6071,4,46.84288462395482,0.9904371944153197,True,True
steghide_images/human/rider-191.bmp,61974,619,1,48.828156812701586,0.9916112413625747,True,True
steghide_images/human/rider-191.bmp,61974,1239,2,45.951477056912495,0.9839740698239754,True,True
steghide_images/human/rider-191.bmp,61974,1859,3,44.710362396706614,0.9794198269579083,True,True
steghide_images/human/rider-191.bmp,61974,2478,4,43.67022256887444,0.974548596592559,True,True
steghide_images/human/rider-192.bmp,152154,1521,1,49.566622944978945,0.9954110092899843,True,True
steghide_images/human/rider-192.bmp,152154,3043,2,47.218480526623495,0.9923888750834738,True,True
steghide_images/human/rider-192.bmp,152154,4564,3,45.68571319815608,0.9891864525370663,True,True
steghide_images/human/rider-192.bmp,152154,6086,4,44.30292457688371,0.9855117214236833,True,True
steghide_images/human/rider-45.bmp,152154,1521,1,49.59673608801399,0.9964437713066272,True,True
steghide_images/human/rider-45.bmp,152154,3043,2,47.542346050735624,0.9942976960548973,True,True
steghide_images/human/rider-45.bmp,152154,4564,3,46.58186979623329,0.992839046612883,True,True
steghide_images/human/rider-45.bmp,152154,6086,4,45.80512976779352,0.9914040890543245,True,True
steghide_images/human/rider-51.bmp,152154,1521,1,49.36307695823098,0.9984708401682717,True,True
steghide_images/human/rider-51.bmp,152154,3043,2,46.87642204787679,0.9971650650270241,True,True
steghide_images/human/rider-51.bmp,152154,4564,3,45.510783591810636,0.9961414390104345,True,True
